ad_number,title,type,Service/Office,Office of Primary Responsibility,published_date,effective_date,CFR Part Reference,CFR Subpart/Appendix Reference,CFR Section Reference
90-06-03 R1,Airworthiness Directives; CESSNA Model 172 Airplanes,AD Final Rules,,,03/03/2011,03/27/1991,Part 39,,
71-18-01,Airworthiness Directives; CESSNA Model 172 Series Airplanes,AD Final Rules,,,03/03/2011,08/31/1971,Part 39,,
74-04-01,Airworthiness Directives; CESSNA Model 172 Series Airplanes,AD Final Rules,,,03/03/2011,02/12/1974,Part 39,,
2011-06-02,Airworthiness Directives; Cessna Aircraft Company (Cessna) Model 172 Airplanes Modified by Supplemental Type Certificate (STC) SA01303WI,AD Final Rules,,,05/11/2011,05/26/2011,Part 39,,
2013-03-15,Airworthiness Directives; Cessna Aircraft Company Airplanes,AD Final Rules,,,02/12/2013,03/19/2013,Part 39,,
2012-02-02,Airworthiness Directives; Cessna Aircraft Company Airplanes,AD Final Rules,,,02/07/2012,03/13/2012,Part 39,,
2012-22-01,Airworthiness Directives; Cessna Aircraft Company Airplanes,AD Final Rules,,,11/23/2012,12/28/2012,Part 39,,
98-02-05,Cessna Aircraft Company Model 172R,AD Final Rules,,,11/08/2010,,Part 39,,
69-15-03,"Airworthiness Directives; CESSNA Models 170, 172, and 175 Series Airplanes",AD Final Rules,,,03/03/2011,08/20/1969,Part 39,,
70-10-06,Airworthiness Directives; CESSNA Model 172I and 172K Airplanes,AD Final Rules,,,08/09/2011,,Part 39,,
2008-02-18,Airworthiness Directives; Cessna Aircraft Company 172 and 182 Series Airplanes,AD Final Rules,,,01/24/2008,02/28/2008,Part 39,,
83-10-03,"Airworthiness Directives; Cessna Model 172M, 172N, 172P, R172K, F172 and FR172 Airplanes",AD Final Rules,,,08/10/2011,06/30/1983,Part 39,,
81-16-09,"Airworthiness Directives; Cessna Model 172N, 172P, R172K, 172RG, F172, FR172 Airplanes",AD Final Rules,,,08/10/2011,08/13/1981,Part 39,,
99-27-02,"Airworthiness Directives; Cessna Aircraft Company 170, 172, 175, and 177 Series Airplanes",AD Final Rules,,,12/29/1999,01/21/2000,Part 39 (64 FR 72919 12/29/99),,
2013-11-11,Airworthiness Directives; Cessna Aircraft Company Airplanes,AD Final Rules,,,06/27/2013,08/01/2013,Part 39,,
80-19-08,Airworthiness Directives; Cessna Model 172RG Airplanes,AD Final Rules,,,08/10/2011,09/15/1980,Part 39,,
98-14-07,Airworthiness Directives; Cessna Model 172R Airplanes,AD Final Rules,,,08/10/2011,08/16/1998,Part 39 [63 FR 35796 No. 126 07/01/98],,
98-13-41,Airworthiness Directives; Cessna Model 172R Airplanes,AD Final Rules,,,08/10/2011,08/18/1998,Part 39 [63 FR 34800 No. 123 06/26/98],,
98-25-03,Airworthiness Directives; Cessna Model 172R Airplanes,AD Final Rules,,,12/03/1998,12/18/1998,Part 39 [63 FR 66744 No. 232  12/03/98],,
85-20-01,Airworthiness Directives; Cessna Model 172RG Airplanes,AD Final Rules,,,08/10/2011,12/05/1985,Part 39,,
80-07-03,Airworthiness Directives; Cessna Model R172K Airplanes,AD Final Rules,,,08/12/2011,03/31/1980,Part 39,,
81-14-06,Airworthiness Directives; Cessna Model 172RG Airplanes,AD Final Rules,,,08/10/2011,07/13/1981,Part 39,,
83-14-04,Airworthiness Directives; Cessna Model 172RG Airplanes,AD Final Rules,,,08/10/2011,07/20/1983,Part 39,,
99-18-14,Airworthiness Directives; Cessna Model 172R Airplanes,AD Final Rules,,,09/01/1999,09/27/1999,Part 39 [64 FR 47658 No. 169  09/01/99],,
